coin,date,price,market_cap,total_volume
btc,01/01/2018,14093.60683,236440337971,2345478673
btc,02/01/2018,15321.93285,257079617264,4130217904
btc,03/01/2018,15583.88554,261505188675,3310355625
btc,04/01/2018,15976.36519,268124738814,4217387187
btc,05/01/2018,18336.92298,307774011688,6275687595
btc,06/01/2018,18343.66249,307926110569,4240919830
btc,07/01/2018,17039.87391,286074127681,3044989246
btc,08/01/2018,15900.36502,266976271422,5752981089
btc,09/01/2018,15604.72341,262044268423,4214092201
btc,10/01/2018,15509.27013,260474112841,4969472882
btc,11/01/2018,14050.56961,236008991341,5833888113
btc,12/01/2018,14759.29463,247945818276,4021952802
btc,13/01/2018,15193.3149,255265724750,3134247725
btc,14/01/2018,14476.58897,243252295974,3336056550
btc,15/01/2018,14411.99771,242193794408,3222958351
btc,16/01/2018,11723.91352,197043955228,9677283153
btc,17/01/2018,11415.39284,191882616843,10225958520
btc,18/01/2018,11569.42499,194496634731,6558304864
btc,19/01/2018,11758.46933,197698672432,4208563477
btc,20/01/2018,13260.27119,222978421656,4520485016
btc,21/01/2018,11703.50486,196828374433,4319501969
btc,22/01/2018,10991.59501,184878210439,5012581424
btc,23/01/2018,10894.00091,183260375707,4779406610
btc,24/01/2018,11277.11597,189730563330,3582338295
btc,25/01/2018,11225.25446,188880475665,3204496193
btc,26/01/2018,11044.90724,185867144988,4616389063
btc,27/01/2018,11456.21351,192805209257,2894314081
btc,28/01/2018,11665.69693,196359635508,2682886340
btc,29/01/2018,11157.66389,187828526722,2345235501
btc,30/01/2018,11095.21069,186776632503,2321424679
btc,31/01/2018,9989.68978,168188285150,3804947187
btc,01/02/2018,10114.49509,170304196700,3225562144
btc,02/02/2018,9070.55545,152744180864,4769515274
btc,03/02/2018,8830.16351,148715185541,6813550017
btc,04/02/2018,8994.91487,151507305722,3422042094
btc,05/02/2018,8315.51749,140081544557,3337096341
btc,06/02/2018,6852.0527,115444836533,5313588642
btc,07/02/2018,7711.22033,129936854004,9152685412
btc,08/02/2018,7611.61028,128271617562,4862232217
btc,09/02/2018,8208.57208,138345016554,3190753947
btc,10/02/2018,8650.71675,145812043727,2960039948
btc,11/02/2018,8574.67764,144544944416,3371677737
btc,12/02/2018,8168.63778,137716289625,2806997176
btc,13/02/2018,8911.39857,150256428069,3069219870
btc,14/02/2018,8518.26908,143645913955,2551515988
btc,15/02/2018,9428.02561,159007423075,3282094240
btc,16/02/2018,10112.58014,170569769073,4332356645
btc,17/02/2018,10155.27706,171309236631,3141038601
btc,18/02/2018,11006.64769,185692327611,3699819140
btc,19/02/2018,10523.42931,177561296505,4740378626
btc,20/02/2018,11103.09004,187364222442,3486171704
btc,21/02/2018,11502.37705,194121879194,4225354045
btc,22/02/2018,9973.59212,168362084194,4574800113
btc,23/02/2018,10032.86311,169362253983,4626064156
btc,24/02/2018,10301.88361,173922837770,4009462976
btc,25/02/2018,9742.62819,164497574061,3465387501
btc,26/02/2018,9699.51718,163790896885,2743650277
btc,27/02/2018,10355.57813,174886939893,3646748812
btc,28/02/2018,10709.38843,180884108725,3398119467
btc,01/03/2018,10346.66493,174778709347,3182259829
btc,02/03/2018,10859.55219,183463718171,2892166041
btc,03/03/2018,11098.07581,187514886761,3031487197
btc,04/03/2018,11356.0416,191899353575,3019436740
btc,05/03/2018,11286.67629,190747933122,2580256309
btc,06/03/2018,11526.42093,194821583687,2693945511
btc,07/03/2018,10727.71625,181342656441,3618749298
