coin,date,year,month,open,high,low,close,volume,market_cap,circulating_supply
btc,01/01/2018,2018,1,13850.5,13921.5,12877.7,13444.9,78425.0,236440337971.0,17585875.534291815
btc,02/01/2018,2018,2,13444.9,15306.1,12934.2,14754.1,137732.0,257079617264.0,17424283.234084085
btc,03/01/2018,2018,3,14754.1,15435.0,14579.7,15156.6,106543.0,261505188675.0,17253552.160444953
btc,04/01/2018,2018,4,15156.5,15408.7,14244.7,15180.1,110969.0,268124738814.0,17662909.915876705
btc,05/01/2018,2018,5,15180.1,17126.9,14832.4,16954.8,141960.0,307774011688.0,18152618.23719537
btc,06/01/2018,2018,6,16954.8,17252.8,16286.6,17172.3,83928.0,307926110569.0,17931558.997280505
btc,07/01/2018,2018,7,17174.5,17184.8,15791.1,16228.2,79006.0,286074127681.0,17628210.626009047
btc,08/01/2018,2018,8,16228.3,16302.9,13902.3,14976.2,142454.0,266976271422.0,17826703.13043362
btc,09/01/2018,2018,9,14976.2,15324.6,14613.4,14778.5,71400.0,262044268423.0,17731452.341103632
btc,10/01/2018,2018,10,14778.5,15045.4,13613.1,15043.0,87073.0,260474112841.0,17315303.65226351
btc,11/01/2018,2018,11,15046.7,15109.1,13048.3,13535.4,167809.0,236008991341.0,17436425.32477799
btc,12/01/2018,2018,12,13529.2,14176.4,13410.0,13886.7,82367.0,247945818276.0,17854912.85013718
btc,13/01/2018,2018,1,13896.0,14640.7,13888.2,14292.2,61143.0,255265724750.0,17860492.069100626
btc,14/01/2018,2018,1,14291.9,14446.1,13094.7,13695.2,85118.0,243252295974.0,17761865.177142356
btc,15/01/2018,2018,1,13695.5,14396.6,13475.4,13697.5,73273.0,242193794408.0,17681605.72425625
btc,16/01/2018,2018,1,13704.4,13711.0,10050.7,11362.0,317096.0,197043955228.0,17342365.36067594
btc,17/01/2018,2018,1,11357.7,11769.6,9271.3,11192.3,361798.0,191882616843.0,17144163.115981523
btc,18/01/2018,2018,1,11202.0,12004.7,10660.2,11245.4,242448.0,194496634731.0,17295661.757785406
btc,19/01/2018,2018,1,11229.6,11973.2,10901.5,11580.2,170740.0,197698672432.0,17072129.361496348
btc,20/01/2018,2018,1,11579.2,13082.2,11567.3,12858.9,143900.0,222978421656.0,17340396.274642467
btc,21/01/2018,2018,1,12857.1,12860.2,11164.5,11594.9,206959.0,196828374433.0,16975426.647319082
btc,22/01/2018,2018,1,11597.5,11970.9,10136.8,10864.8,201726.0,184878210439.0,17016255.28670569
btc,23/01/2018,2018,1,10869.0,11438.0,10056.6,10903.2,188365.0,183260375707.0,16807944.06293565
btc,24/01/2018,2018,1,10899.4,11549.5,10584.5,11452.3,136064.0,189730563330.0,16567027.001563005
btc,25/01/2018,2018,1,11439.9,11740.9,10983.8,11203.0,181810.0,188880475665.0,16859812.16325984
btc,26/01/2018,2018,1,11203.1,11655.3,10389.4,11118.1,253912.0,185867144988.0,16717527.723981615
btc,27/01/2018,2018,1,11118.0,11621.7,10908.4,11467.5,163493.0,192805209257.0,16813185.89553085
btc,28/01/2018,2018,1,11471.2,12112.7,11433.3,11795.1,154629.0,196359635508.0,16647560.046799093
btc,29/01/2018,2018,1,11794.9,11888.1,11119.0,11244.8,137419.0,187828526722.0,16703589.812357713
btc,30/01/2018,2018,1,11244.5,11277.2,9917.7,10166.0,264718.0,186776632503.0,18372676.81516821
btc,31/01/2018,2018,1,10166.3,10397.7,9742.2,10265.4,208465.0,168188285150.0,16383997.228554172
btc,01/02/2018,2018,1,10266.2,10303.0,8789.2,9181.1,358402.0,170304196700.0,18549432.715034146
btc,02/02/2018,2018,2,9179.8,9201.4,7915.8,8893.2,519403.0,152744180864.0,17175390.282912787
btc,03/02/2018,2018,3,8894.4,9506.9,8249.3,9241.1,248705.0,148715185541.0,16092801.24022032
btc,04/02/2018,2018,4,9241.5,9382.1,7932.1,8222.2,280937.0,151507305722.0,18426614.01109192
btc,05/02/2018,2018,5,8220.8,8383.2,6651.9,6938.5,593888.0,140081544557.0,20189024.220941126
btc,06/02/2018,2018,6,6939.3,7896.2,5996.6,7701.2,886876.0,115444836533.0,14990499.73160027
btc,07/02/2018,2018,7,7693.8,8536.5,7196.6,7594.7,445615.0,129936854004.0,17108885.67079674
btc,08/02/2018,2018,8,7595.1,8489.9,7595.1,8164.2,296103.0,128271617562.0,15711474.187550526
btc,09/02/2018,2018,9,8163.6,8735.6,7784.6,8699.8,233940.0,138345016554.0,15902091.606013933
btc,10/02/2018,2018,10,8697.3,9066.6,8172.2,8559.6,263526.0,145812043727.0,17034913.281812232
btc,11/02/2018,2018,11,8559.7,8564.2,7843.7,8081.9,236202.0,144544944416.0,17885020.158131134
btc,12/02/2018,2018,12,8083.6,8984.9,8083.6,8903.5,238674.0,137716289625.0,15467657.62059864
btc,13/02/2018,2018,2,8906.2,8942.7,8378.0,8539.2,195867.0,150256428069.0,17596077.860806633
btc,14/02/2018,2018,2,8542.6,9500.0,8541.6,9476.3,246881.0,143645913955.0,15158438.837415447
btc,15/02/2018,2018,2,9475.6,10206.8,9348.5,10037.3,291276.0,159007423075.0,15841652.942026243
